compound_id,smiles
Ceftaroline,CN1C(=O)C(N=C1C(=O)O)SC2=C(C3N(C2=O)C(=C(CS3)C(=O)O)C(=O)N(C4=CC=C(C=C4)N5CCCC5)C6=CC=C(C=C6)N7CCCC7)C(=O)O
Ceftaroline_fosamil,CN1C(=O)C(N=C1C(=O)O)SC2=C(C3N(C2=O)C(=C(CS3)C(=O)O)C(=O)N(C4=CC=C(C=C4)N5CCCC5)C6=CC=C(C=C6)N7CCCC7)C(=O)OC(C)(C)C(=O)O
Meropenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)O)C(=O)O)(C)O
Imipenem,N1C(=C2SC3CC(NC3)C(=O)O)C(=O)C2=C1C4CC4
Ceftobiprole,CN1C(=O)C(N=C1C(=O)O)SC2=C(C3N(C2=O)C(=C(CS3)C(=O)O)C(=O)N(C4=CC=C(C=C4)C5=CC=CC=C5)C6=CC=C(C=C6)N7CCN(CC7)C)C(=O)O
Ceftobiprole_medocaril,CN1C(=O)C(N=C1C(=O)O)SC2=C(C3N(C2=O)C(=C(CS3)C(=O)O)C(=O)N(C4=CC=C(C=C4)C5=CC=CC=C5)C6=CC=C(C=C6)N7CCN(CC7)C)C(=O)OC(C)(C)C(=O)O
Cefepime,CN1C(=O)C(N=C1C(=O)O)SC2=C(C3N(C2=O)C(=C(CS3)C(=O)O)C(=O)NC4=NCCN4)C(=O)O
Cefoxitin,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)O)C(=O)O)C(=O)OC(=O)C4=CC=CS4
Nafcillin,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)O)C(=O)O)C(=O)N(C4=CC=CC=C4C5=CC=CC=C5)C6=CC=CC=C6
Oxacillin,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)O)C(=O)O)C(=O)N(C4=CC=CC=C4C5=CC=CC=C5)C6=CC=CC=C6O
MAA_druglike1,CC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)C(=O)NCC3=CC=C(C=C3)O
MAA_druglike2,COc1ccc(cc1)NC(=O)Cc2ccc(cc2)NC(=O)C3=CC=C(C=C3)O
MAA_druglike3,CC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NCC(=O)Nc3ccc(O)cc3
MAA_druglike4,O=C(Nc1ccc(O)cc1)CCc2ccc(cc2)NC(=O)c3ccccc3
MAA_druglike5,CC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)OCC(=O)Nc3ccc(O)cc3
MAA_novel1,CN1C(=O)C(N=C1C(=O)O)SCC2=CC=C(C=C2)N3CCCC3
MAA_novel2,O=C(Nc1ccc(cc1)N2CCCC2)c3ccc(cc3)-c4nc(N)sc4
MAA_novel3,Nc1nc(cs1)C(=O)Nc2ccc(cc2)-c3ccc(O)cc3
MAA_novel4,O=C(Nc1ccc(cc1)N2CCN(C)CC2)c3ccc(cc3)-c4ccc(O)cc4
MAA_novel5,Cn1cnc(c1)-c2ccc(cc2)C(=O)Nc3ccc(cc3)N4CCCC4
MAA_novel6,O=C(Nc1ccc(O)cc1)c2ccc(cc2)-c3nc4ccccc4o3
MAA_novel7,Nc1nc(cs1)-c2ccc(cc2)NC(=O)c3ccc(cc3)N4CCOCC4
MAA_novel8,O=C(Nc1ccc(cc1)-c2ccc(O)cc2)c3ccc(cc3)-c4nnc(o4)C
MAA_novel9,CN1C(=O)C(N=C1C(=O)O)Sc2ccc(cc2)C(=O)Nc3ccc(cc3)N4CCCC4
MAA_novel10,O=C(Nc1ccc(cc1)N2CCCC2)c3ccc(cc3)-c4ccc(cc4)C(=O)O
MAA_novel11,Nc1nc2ccc(cc2s1)C(=O)Nc3ccc(cc3)-c4ccncc4
MAA_novel12,O=C(Nc1ccc(O)cc1)c2ccc(cc2)-c3nc(cs3)-c4ccc(cc4)N5CCCC5
