compound_id,smiles,ic50_uM
CHEMBL1626935,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)NC(C)(C)C)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,2.4
CHEMBL1626891,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccc(CCO)cc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,1.0
CHEMBL1626914,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7cccc(C#N)c7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.56
CHEMBL1626887,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCO)(CC5)CC6)cc3C4=O)C[C@H]12,0.17
CHEMBL348278,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C(=O)c4cccc5cccc(c45)C3=O)[C@H](C)[C@H]12,1.4
CHEMBL1626882,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,1.28
CHEMBL1626912,COc1cccc(NC(=O)C[N+]23CC[N+](Cc4ccc5c(c4)C(=O)c4ccc(C6=C(C(=O)O)N7C(=O)[C@H]([C@@H](C)O)[C@H]7[C@H]6C)cc4-5)(CC2)CC3)c1,1.82
CHEMBL1626956,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7cccc(C(N)=O)c7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.93
CHEMBL161482,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C(=O)c4cccc5cccc(c45)S3(=O)=O)[C@H](C)[C@H]12,2.4
CHEMBL1626899,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC#N)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.29
CHEMBL1626949,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)c7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.62
CHEMBL1626970,CNC(=O)C[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2,0.33
CHEMBL1626937,CC(=O)c1cccc(NC(=O)C[N+]23CC[N+](Cc4ccc5c(c4)C(=O)c4ccc(C6=C(C(=O)O)N7C(=O)[C@H]([C@@H](C)O)[C@H]7[C@H]6C)cc4-5)(CC2)CC3)c1,0.98
CHEMBL1626902,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccc7C#N)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.82
CHEMBL1626906,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](Cc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,2.2
CHEMBL1626903,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCOc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.4
CHEMBL1626945,CCCNC(=O)C[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2,0.84
CHEMBL432966,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(N)=O)(CC5)CC6)cc3C4=O)C[C@H]12,0.34
CHEMBL1626967,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccc7C(N)=O)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.78
CHEMBL351921,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C(=O)c4c(ccc5ccccc45)S3(=O)=O)[C@H](C)[C@H]12,1.6
CHEMBL1626969,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)N(C)c7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.9
CHEMBL1626908,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7cccc(CO)c7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,1.2
CHEMBL1626936,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCCO)(CC5)CC6)cc3C4=O)C[C@H]12,0.8
CHEMBL1626948,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC#N)(CC5)CC6)cc3C4=O)C[C@H]12,0.29
CHEMBL1626947,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccc7)(CC5)CC6)cc3C4=O)C[C@H]12,0.33
CHEMBL1626917,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCCO)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.47
CHEMBL1626905,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCCC(N)=O)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,2.0
CHEMBL161759,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3c4cccc5cccc(c45)N(C)S3(=O)=O)[C@H](C)[C@H]12,7.1
CHEMBL1626955,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](C)(CC5)CC6)cc3C4=O)C[C@H]12,0.18
CHEMBL1626950,CC[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6C5)cc3-4)(CC1)CC2,0.25
CHEMBL1626901,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccn7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.31
CHEMBL322522,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(N)=O)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12,0.8
CHEMBL1626913,COc1ccccc1NC(=O)C[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2,0.65
