smiles,compound_id
O=C(Nc1ccc(-c2ccc(Cl)cc2)cc1)c1ccccc1,ALL_BA01
O=C(Nc1ccc(-c2ccc(F)cc2)cc1)c1ccccc1,ALL_BA02
O=C(Nc1ccc(-c2ccccc2)cc1)c1cccs1,ALL_BA03
O=C(Nc1ccc(-c2ccccc2)cc1)c1ccncc1,ALL_BA04
O=C(Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)c1ccccc1,ALL_BA05
O=C(Nc1ccc(-c2cccc(F)c2)cc1)c1ccccc1,ALL_BA06
COc1ccc(-c2ccc(NC(=O)c3ccccc3)cc2)cc1,ALL_BA07
Cc1ccc(-c2ccc(NC(=O)c3ccc(F)cc3)cc2)cc1,ALL_BA08
O=C(Nc1ccc(-c2ccccc2)cc1)c1ccc(F)cc1,ALL_BA09
O=C(Nc1ccc(-c2ccc(F)cc2)cc1)c1cccs1,ALL_BA10
Cc1ccc(-c2ccc(NC(=O)c3ccccc3)cc2)cc1,ALL_BA11
O=C(Nc1ccccc1)Nc1ccc(-c2ccc(F)cc2)cc1,ALL_BA13
O=C(Nc1ccc(-c2ccccc2)cc1)c1cccc(F)c1,ALL_BA14
O=C(Nc1ccc(-c2ccc(OC(F)(F)F)cc2)cc1)c1ccccc1,ALL_BA15
Cc1ccccc1-c1ccc(NC(=O)c2ccccc2)cc1,ALL_BA16
Cc1ccc(C(=O)Nc2ccc(-c3ccc(F)cc3)cc2)cc1,ALL_BA17
CC(C)c1ccc(-c2ccc(NC(=O)c3ccccc3)cc2)cc1,ALL_BA18
O=C(Nc1ccc(-c2ccc(-c3ccccc3)cc2)cc1)c1ccccc1,ALL_BA19
O=C(Nc1ccc(-c2ccc(-c3ccc(F)cc3)cc2)cc1)c1ccccc1,ALL_BA20
O=C(Nc1ccc(-c2cccc(-c3ccccc3)c2)cc1)c1ccccc1,ALL_BA21
O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1,ALL_ET01
O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)c1ccccc1,ALL_ET02
O=C(Nc1ccc(Oc2ccc(Cl)cc2)cc1)c1ccccc1,ALL_ET03
Cc1ccc(Oc2ccc(NC(=O)c3ccccc3)cc2)cc1,ALL_ET04
COc1ccc(Oc2ccc(NC(=O)c3ccccc3)cc2)cc1,ALL_ET05
O=C(Nc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)c1ccccc1,ALL_ET06
Cc1ccccc1Oc1ccc(NC(=O)c2ccccc2)cc1,ALL_ET07
O=C(Nc1ccc(Oc2ccccc2F)cc1)c1ccncc1,ALL_ET08
O=S(=O)(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1,ALL_ET09
O=C(Nc1ccc(Oc2cccc(F)c2)cc1)c1cccs1,ALL_ET10
O=C(Nc1ccc2[nH]c(=O)ccc2c1)c1ccccc1,ALL_IN01
O=C(Nc1ccc2[nH]c3ccccc3c2c1)c1ccccc1,ALL_IN02
O=C(Nc1ccc2oncc2c1)c1ccc(-c2ccccc2)cc1,ALL_IN03
Cc1c(C(=O)Nc2ccc(-c3ccccc3)cc2)c2ccccc2n1C,ALL_IN04
COc1ccc2[nH]c(C(=O)Nc3ccc(-c4ccccc4)cc3)cc2c1,ALL_IN05
O=C(Nc1ccc2ccccc2c1)c1ccc(-c2ccccc2)cc1,ALL_IN06
