compound_id,smiles
ALL_BA01,O=C(Nc1ccc(-c2ccc(Cl)cc2)cc1)c1ccccc1
ALL_BA02,O=C(Nc1ccc(-c2ccc(F)cc2)cc1)c1ccccc1
ALL_BA03,O=C(Nc1ccc(-c2ccccc2)cc1)c1cccs1
ALL_BA04,O=C(Nc1ccc(-c2ccccc2)cc1)c1ccncc1
ALL_BA05,O=C(Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)c1ccccc1
ALL_BA06,O=C(Nc1ccc(-c2cccc(F)c2)cc1)c1ccccc1
ALL_BA07,O=C(Nc1ccc(-c2ccc(OC)cc2)cc1)c1ccccc1
ALL_BA08,O=C(Nc1ccc(-c2ccc(C)cc2)cc1)c1ccc(F)cc1
ALL_BA09,O=C(Nc1ccc(-c2ccccc2)cc1)c1ccc(F)cc1
ALL_BA10,O=C(Nc1ccc(-c2ccc(F)cc2)cc1)c1cccs1
ALL_BA11,Cc1ccc(-c2ccc(NC(=O)c3ccccc3)cc2)cc1
ALL_BA12,COc1ccc(-c2ccc(NC(=O)c3ccccc3)cc2)cc1
ALL_BA13,O=C(Nc1ccc(-c2ccc(F)cc2)cc1)Nc1ccccc1
ALL_BA14,O=C(Nc1ccc(-c2ccccc2)cc1)c1cccc(F)c1
ALL_BA15,O=C(Nc1ccc(-c2ccc(OC(F)(F)F)cc2)cc1)c1ccccc1
ALL_BA16,O=C(Nc1ccc(-c2ccccc2C)cc1)c1ccccc1
ALL_BA17,Cc1ccc(C(=O)Nc2ccc(-c3ccc(F)cc3)cc2)cc1
ALL_BA18,CC(C)c1ccc(-c2ccc(NC(=O)c3ccccc3)cc2)cc1
ALL_BA19,O=C(Nc1ccc(-c2ccc(-c3ccccc3)cc2)cc1)c1ccccc1
ALL_BA20,O=C(Nc1ccc(-c2ccc(-c3ccc(F)cc3)cc2)cc1)c1ccccc1
ALL_BA21,O=C(Nc1ccc(-c2cccc(-c3ccccc3)c2)cc1)c1ccccc1
ALL_ET01,O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1
ALL_ET02,O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)c1ccccc1
ALL_ET03,O=C(Nc1ccc(Oc2ccc(Cl)cc2)cc1)c1ccccc1
ALL_ET04,Cc1ccc(Oc2ccc(NC(=O)c3ccccc3)cc2)cc1
ALL_ET05,COc1ccc(Oc2ccc(NC(=O)c3ccccc3)cc2)cc1
ALL_ET06,O=C(Nc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)c1ccccc1
ALL_ET07,O=C(Nc1ccc(Oc2ccccc2C)cc1)c1ccccc1
