compound_id,smiles
AA-0000,O=C(O)C(CN1CCCCCC1)C1C2CC3CC(C2)CC1C3
AA-0005,O=C(O)C(C1CCNCC1)C1C2CC3CC(C2)CC1C3
AA-0015,O=C(O)C(CCCN1CCCN1)C12CCC(CC1)C2
AA-0029,O=C(O)C(CCN1CCNCC1)C1CC2CCC1C2
AA-0043,CC1C2CCC1(C)C2C(CCCN1CCCC1)C(=O)O
AA-0056,CN(CCCC(C(=O)O)C1C2CCC1C2)CC1CCCCC1
AA-0058,O=C(O)C(CN1CCCC1c1ccccc1)C1C2CCC1C2
AA-0070,O=C(O)C(CCC1CCOCCN1)C1C2CCC1C2
AA-0074,O=C(O)C(CC=C1CCCCN1)C1CCC2CCCCC2C1
AA-0087,CC1C(SC2CNC(C(=O)O)C2)=C(C(=O)O)N2C(=O)C(C)(O)C12
AA-0088,CC(C)(C=O)c1cc(-c2noc(-c3ccc4c(c3)OCC(=O)N4)n2)ccc1O
AA-0089,CCCC(=O)Nc1ccc(-c2nc(-c3ccc(C(=O)O)cc3)no2)cc1
AA-0092,CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C(=O)O
AA-0094,Cc1ccc(C(=O)Nc2ccc(-c3cc(-c4ccc(F)cc4)nn3C)cc2)cc1
AA-0095,COc1cc(-c2cc(=O)c3cc(OC4OC(C)C(O)C4O)ccc3o2)ccc1O
AA-0096,CC12C(S)=C(C(=O)O)N3C(=O)C(C31)N2C(=O)Cc1ccccc1
AA-0097,COc1ccc(C=Cc2ccc(O)c(OC)c2)cc1O
AA-0100,COc1ccc(C=Cc2cn(CC3Oc4cc(O)ccc4CC3=O)c(=O)[nH]c2=O)cc1O
DIV-0110,O=C(CCCc1ccc(-c2ccccc2)cc1)NO
DIV-0119,Cc1ccccc1-c1ccc(CCOC(=O)NO)cc1
DIV-0132,O=C(NO)NCCc1ccc(-c2ccncc2)cc1
DIV-0141,O=C(NO)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1
DIV-0147,O=C(NO)c1ccc2c(Cc3ccccc3)cccc2c1
DIV-0153,O=C(NO)OCCC1CCCCC1c1ccccc1
DIV-0162,O=C(Cc1ccc(OCc2ccccc2)cc1)NO
DIV-0171,O=C(NO)c1ccc(CC(=O)N2CCCCC2)cc1
DIV-0210,O=C(NO)OCCc1ccnc(N2CCCCC2)c1
DIV-0214,O=C(NO)NCCC1CCC(Cc2ccccc2)C1
DIV-0215,O=C(CCCC1CCC(Nc2ccccc2)C1)NO
DIV-0220,O=C(CC12CC(N3CCCCC3)CCC1C2)NO
DIV-0225,O=C(CC1CCC(CC(=O)N2CCCC2)C1)NO
DIV-0233,O=C(NO)OCCC1CCC(C(=O)N2CCCCC2)C1
DIV-0235,O=C(O)c1ccc(-c2nnoc2C(F)(F)F)cc1
DIV-0241,COc1cc(OC)c2c(c1)OC(c1ccc(S(N)(=O)=O)cc1)C(CCc1ccc(O)cc1)C2=O
DIV-0242,O=C1NCCC1Sc1ccnc(-n2cc(C=Cc3ccc(O)cc3)c(=O)[nH]c2=O)n1
DIV-0243,COc1cc(OC)c2c(c1)OC(Cc1ccccc1)C(c1ccnc(SC3CCNC3=O)n1)C2=O
DIV-0244,c1ccc(-c2ccnc(Nc3nc4ccccc4s3)n2)cc1
DIV-0245,NS(=O)(=O)c1ccc(-c2ccnc(-c3ccc(S(N)(=O)=O)cc3)n2)cc1
DIV-0246,O=C1NCCC1Sc1nccc(-c2nccc(C3CCNC3=O)n2)n1
DIV-0250,CN1C(=O)C(Sc2ccnc(C3Oc4cc(O)ccc4CC3=O)n2)N=C1C(=O)O
DIV-0261,CN1C(=O)C(c2nccc(-c3ccnc(-c4ccc(O)c(O)c4)n3)n2)N=C1C(=O)O
DIV-0269,O=C1OC2CC3c4ccccc4CCN3CC2N1c1nccc(-c2ccc(O)c(O)c2)n1
DIV-0277,Oc1ccc(CCc2ccnc(-c3ccnc(Cc4ccccc4)n3)n2)cc1
DIV-0291,CN1C(=O)C(Nc2nc3ccccc3s2)N=C1C(=O)O
DIV-0310,O=C1Cc2ccc(O)cc2OC1Nc1nc2ccccc2s1
DIV-0314,COc1cc(OC)c2c(c1)OC(C1CNC(C(=O)O)C1)C(Nc1nc3ccccc3s1)C2=O
DIV-0315,O=C(O)C1CC(c2nccc(CCc3ccc(O)cc3)n2)CN1
DIV-0339,NS(=O)(=O)c1ccc(Cn2cc(C=Cc3ccc(O)cc3)c(=O)[nH]c2=O)cc1
DIV-0354,NS(=O)(=O)c1ccc(C2CNC(C(=O)O)C2)cc1
DIV-0385,CC1C(C(=O)O)=C(C(=O)O)N2C(=O)C(Sc3ccc(S(N)(=O)=O)cc3)C12
DIV-0411,CN1C(=O)C(SC2CCNC2=O)N=C1C(=O)O
DIV-0470,O=C1NCCC1SC1Oc2cc(O)ccc2CC1=O
DIV-0473,O=c1cc(Nc2nc3ccccc3s2)oc2cc(O)cc(O)c12
CTRL_POS_QUIN01,N#Cc1ccc(NC(=O)N2C(c3ccccc3)=NC(c3cccc(C(=O)O)c3)=Nc3ccccc32)cc1
