compound_id,smiles
AAB0001,O=C(O)C(CN1CCCCCC1)C1C2CC3CC(C2)CC1C3
AAB0002,CN(C)CCC(C(=O)O)C1C2CC3CC(C2)CC1C3
AAB0003,CN(CCC(C(=O)O)C1C2CC3CC(C2)CC1C3)CC1CCCC1
AAB0004,CN(C)CC(C(=O)O)C1C2CC3CC(C2)CC1C3
AAB0005,O=C(O)C(CN1CCCNCC1)C1C2CC3CC(C2)CC1C3
AAB0007,O=C(O)C(CN1CCCC1)C1C2CC3CC(C2)CC1C3
AAB0008,CN(C)CCCC(C(=O)O)C1C2CC3CC(C2)CC1C3
AAB0009,O=C(O)C(CCCCN1CCCC1)C1C2CC3CC(C2)CC1C3
AAB0010,O=C(O)C(CCN1CCCC1)C1C2CC3CC(C2)CC1C3
AAB0011,O=C(O)C(CN1CCNCC1)C1C2CC3CC(C2)CC1C3
AAB0012,O=C(O)C(CCN1CCCC1)C1C2CC3CC(C2)CC1C3
AAB0013,O=C(O)C(C1C2CC3CC(C2)CC1C3)N1CCCC1
AAB0014,O=C(O)C(CN1CCCCCC1)C1C2CC3CC(C2)CC1C3
AAB0015,CN(CCC(C(=O)O)C1C2CC3CC(C2)CC1C3)CC1CCCCC1
AAB0016,O=C(O)C(CCN1CCCCCC1)C1C2CC3CC(C2)CC1C3
AAB0017,CCN(CC)CCC(C(=O)O)C1C2CC3CC(C2)CC1C3
AAB0019,O=C(O)C(CN1CCCC1)C1C2CC3CC(C2)CC1C3
AAB0020,O=C(O)C(CCCCN1CCCC1)C1C2CC3CC(C2)CC1C3
AAB0022,O=C(O)C(CCN1CCCC1)C12CCC(CC1)C2
AAB0023,O=C(O)C(CCN1CCNCC1)C12CCC(CC1)C2
AAB0024,O=C(O)C(CCN1CCCC1)C12CCC(CC1)C2
AAB0025,O=C(O)C(CCN1CCCC1)C12CCC(CC1)C2
AAB0026,O=C(O)C(CCCCN1CCCC1)C12CCC(CC1)C2
AAB0028,O=C(O)C(CCN1CCCC1)C12CCC(CC1)C2
AAB0029,O=C(O)C(CCCCN1CCCC1)C12CCC(CC1)C2
AAB0030,O=C(O)C(CCCN1CCCC1)C12CCC(CC1)C2
AAB0031,O=C(O)C(CN1CCNCC1)C12CCC(CC1)C2
AAB0032,O=C(O)C(CCC1CCNCC1)C12CCC(CC1)C2
AAB0033,CCN(CC)CCC(C(=O)O)C12CCC(CC1)C2
AAB0034,CN(C)CCCCC(C(=O)O)C12CCC(CC1)C2
AAB0035,O=C(O)C(CN1CCCCCC1)C12CCC(CC1)C2
AAB0036,CN(CCC(C(=O)O)C12CCC(CC1)C2)CC1CCCCC1
AAB0037,O=C(O)C(CCN1CCNCC1)C12CCC(CC1)C2
AAB0038,O=C(O)C(CN1CCCNCC1)C12CCC(CC1)C2
AAB0039,O=C(O)C(CNCC1CCCCC1)C12CCC(CC1)C2
AAB0040,O=C(O)C(CN1CCNCC1)C12CCC(CC1)C2
AAB0041,O=C(O)C(CCN1CCNCC1)C1CC2CCC1C2
AAB0042,CN(CCCC(C(=O)O)C1CC2CCC1C2)CC1CCCCC1
