compound_id,si,si_tier,d3_stability,stability_rank,md_success,npt_duration_ns,traj_mmgbbsa_dg_kcal,n_site_waters,max_residence_ps,evidence
SEED_01150,2.0,Promising,Metastable,1,True,0.1,,,,MD:stability
ALL_QU04,2.07,Strong,Dissociated,2,True,0.1,,,,MD:stability
BRICS_0022,2.13,Strong,Dissociated,2,False,0.05,,0,,MD:stability+water
ALL_SP03,1.93,Promising,,,False,,,,,unvalidated
ALL_SU08,1.91,Promising,,,False,,,,,unvalidated
BRICS_0340,1.91,Promising,,,False,,,,,unvalidated
ALL_SU14,1.82,Promising,,,False,,,,,unvalidated
ALL_TE07,1.65,Promising,,,False,,,,,unvalidated
ALL_SU03,1.63,Promising,,,False,,,,,unvalidated
BRICS_01154,1.34,Weak,,,False,,,,,unvalidated
DIV_0277,1.32,Weak,,,False,,,,,unvalidated
BRICS_0004,1.27,Weak,,,False,,,,,unvalidated
BRICS_0006,1.24,Weak,,,False,,,,,unvalidated
ALL_QU05,1.23,Weak,,,False,,,,,unvalidated
SEED_01149,1.21,Weak,,,False,,,,,unvalidated
BRICS_01158,1.21,Weak,,,False,,,,,unvalidated
BRICS_01161,1.17,Weak,,,False,,,,,unvalidated
DIV_0242,1.17,Weak,,,False,,,,,unvalidated
DIV_0405,1.16,Weak,,,False,,,,,unvalidated
DECOY_0059,1.13,Weak,,,False,,,,,unvalidated
DECOY_0120,1.12,Weak,,,False,,,,,unvalidated
DECOY_0104,1.12,Weak,,,False,,,,,unvalidated
BRICS_02023,1.08,Weak,,,False,,,,,unvalidated
BRICS_02241,1.08,Weak,,,False,,,,,unvalidated
BRICS_01163,,,,,False,,,,,unvalidated
ALL_QU09,,,,,False,,,,,unvalidated
