Compound_ID,SMILES,PBP2a_Active_Energy,PBP2a_Allosteric_Energy,PBP2a_Best_Energy,Binding_Site,Human_Trypsin_Energy,Human_CES1_Energy,Human_CYP3A4_Energy,Human_hERG_Energy,Human_Albumin_Energy,Human_OffTarget_Max_Energy,HIGH_TOXICITY_RISK,Selectivity_Index,Selectivity_Confidence,Off_Target_Risk,Max_Similarity,Passes_Lipinski,QED_Score,SA_Score,TPSA,Fraction_CSP3,Num_Rotatable_Bonds,Binding_Mode_Notes,Protocol_RMSD,Protocol_RMSD_Full,protocol_trust,H_Bond_Ser403,H_Bond_Lys406,H_Bond_Tyr446,MMGBSA_Score,SI_Tier,Selectivity_Index_TwoTarget,SI_vs_Ceftaroline,Passes_Selectivity_Gate,Score_Flag,SI_Provisional
ALL_QU05,O=c1[nH]c2ccc3cccnc3c2n1Cc1ccc(-c2ccccc2)cc1,-9.71,-7.66,-9.71,active,-7.31,-0.22,-10.39,N/A (not docked),N/A (not docked),N/A,False,2.03,High,False,0.091,True,0.517,2.127,50.68,0.043,3,Forms strong H-bond with catalytic Ser403 (2.7 Å). | Stabilized by Lys406 contact (2.7 Å). | Stabilising contact with Tyr446 (1.3 Å).,1.251,1.937,Validated,True,True,True,N/A,Strong,2.03,1.05,True,,N/A
BRICS-01163,O=c1[nH]c(=O)n(Cc2ccc(-n3c(=O)[nH]c4ccccc43)cc2)c2ccccc12,-10.24,-8.27,-10.24,active,-7.87,-0.81,-11.11,N/A (not docked),N/A (not docked),N/A,False,1.91,High,False,0.094,True,0.500,2.225,92.65,0.045,3,Forms strong H-bond with catalytic Ser403 (2.7 Å). | Stabilized by Lys406 contact (3.5 Å). | Weak Tyr446 contact (3.5 Å) — resistance risk.,1.251,1.937,Validated,True,True,False,N/A,Promising,1.91,1.13,True,,N/A
SEED-01150,O=c1[nH]c(=O)n(Cc2ccc(-c3ccccc3)cc2)c2ccccc12,-9.47,-7.55,-9.47,active,-7.10,-1.58,-10.07,N/A (not docked),N/A (not docked),N/A,False,1.74,High,False,0.082,True,0.626,1.795,54.86,0.048,3,Forms strong H-bond with catalytic Ser403 (3.1 Å). | Stabilized by Lys406 contact (2.5 Å). | Stabilising contact with Tyr446 (1.4 Å).,1.251,1.937,Validated,True,True,True,N/A,Promising,1.74,1.03,True,,N/A
BRICS-0013,COc1ccc(C=Cc2cn(CC3CNC(C(=O)O)C3)c(=O)[nH]c2=O)cc1O,-9.60,-6.97,-9.60,active,-7.52,-1.00,-8.52,N/A (not docked),N/A (not docked),N/A,False,1.64,High,False,0.229,True,0.567,3.553,133.65,0.316,6,Forms strong H-bond with catalytic Ser403 (3.1 Å). | Stabilized by Lys406 contact (2.5 Å). | Stabilising contact with Tyr446 (1.3 Å).,1.251,1.937,Validated,True,True,True,N/A,Promising,1.64,0.96,True,,N/A
ALL_QU04,O=S(=O)(c1ccc2ncccc2c1)Nc1ccc(-c2ccccc2)cc1,-10.05,-7.55,-10.05,active,-7.71,-1.86,-10.34,N/A (not docked),N/A (not docked),N/A,False,1.58,High,False,0.083,True,0.574,1.777,59.06,0.000,4,Forms strong H-bond with catalytic Ser403 (3.2 Å). | Stabilized by Lys406 contact (2.4 Å). | Stabilising contact with Tyr446 (1.4 Å).,1.251,1.937,Validated,True,True,True,N/A,Promising,1.58,1.03,True,,N/A
BRICS-0006,COc1ccc(C=Cc2cn(CN3C(=O)OC4CC5c6ccccc6CCN5CC43)c(=O)[nH]c2=O)cc1O,-10.61,-8.34,-10.61,active,-8.04,12.66,-10.71,N/A (not docked),N/A (not docked),N/A,False,N/A (low-conf),Unassessed,False,0.094,False,0.535,4.079,117.10,0.321,5,Forms strong H-bond with catalytic Ser403 (2.8 Å). | Stabilized by Lys406 contact (2.7 Å). | Stabilising contact with Tyr446 (1.2 Å).,1.251,1.937,Validated,True,True,True,N/A,Below gate,N/A,1.14,False,,1.04
BRICS-0022,COc1ccc(C=Cc2cn(Cc3ccnc(C4CCNC4=O)n3)c(=O)[nH]c2=O)cc1O,-10.41,-7.40,-10.41,active,-8.04,-1.98,-9.32,N/A (not docked),N/A (not docked),N/A,False,1.48,High,True,0.101,True,0.522,3.478,139.20,0.227,6,Forms strong H-bond with catalytic Ser403 (2.1 Å). | Stabilized by Lys406 contact (2.4 Å). | Stabilising contact with Tyr446 (1.3 Å). (below SI gate),1.251,1.937,Validated,True,True,True,N/A,Below gate,1.48,1.01,False,,N/A
BRICS-0340,COc1ccc(C=Cc2cn(Cc3nccc(C4CCNC4=O)n3)c(=O)[nH]c2=O)cc1O,-10.13,-7.41,-10.13,active,-7.81,-2.44,-9.20,N/A (not docked),N/A (not docked),N/A,False,1.45,High,False,0.101,True,0.522,3.520,139.20,0.227,6,Forms strong H-bond with catalytic Ser403 (2.7 Å). | Stabilized by Lys406 contact (2.4 Å). | Weak Tyr446 contact (3.5 Å) — resistance risk. (below SI gate),1.251,1.937,Validated,True,True,False,N/A,Below gate,1.45,1.01,False,,N/A
BRICS-01154,O=c1[nH]c(=O)n(Cn2c(=O)[nH]c(=O)c3ccccc32)c2ccccc12,-10.08,-7.76,-10.08,active,-7.31,-8.73,-9.44,N/A (not docked),N/A (not docked),N/A,True,0.97,High,True,0.076,True,0.545,2.329,109.72,0.059,2,Forms strong H-bond with catalytic Ser403 (3.1 Å). | Stabilized by Lys406 contact (2.7 Å). | Stabilising contact with Tyr446 (2.5 Å). (below SI gate),1.251,1.937,Validated,True,True,True,N/A,Below gate,0.97,1.06,False,,N/A
ALL_QU04,O=S(=O)(Nc1ccc(-c2ccccc2)cc1)c1ccc2ncccc2c1,-10.05,-7.55,-10.05,active,N/A,N/A,N/A,N/A (not docked),N/A (not docked),N/A,False,N/A (low-conf),Unassessed,False,0.083,True,0.574,1.777,59.06,0.000,4,no pose — binding interactions not analysed.,1.251,1.937,Validated,False,False,False,N/A,Below gate,N/A,1.03,False,,N/A
