Compound_ID,SMILES,PBP2a_Active_Energy,PBP2a_Allosteric_Energy,PBP2a_Best_Energy,Binding_Site,Human_Trypsin_Energy,Human_CES1_Energy,Human_CYP3A4_Energy,Human_hERG_Energy,Human_Albumin_Energy,Human_OffTarget_Max_Energy,HIGH_TOXICITY_RISK,Selectivity_Index,Selectivity_Confidence,Off_Target_Risk,Max_Similarity,Passes_Lipinski,QED_Score,SA_Score,TPSA,Fraction_CSP3,Num_Rotatable_Bonds,Binding_Mode_Notes,Protocol_RMSD,Protocol_RMSD_Full,protocol_trust,H_Bond_Ser403,H_Bond_Lys406,H_Bond_Tyr446,MMFF94_Strain_Score,SI_Tier,Selectivity_Index_TwoTarget,SI_vs_Ceftaroline,Passes_Selectivity_Gate,Score_Flag,SI_Provisional,MMGBSA_dG_Bind,MD_Stability,IFD_Energy,Selectivity_Index_CI
BRICS_0022,COc1ccc(C=Cc2cn(Cc3ccnc(C4CCNC4=O)n3)c(=O)[nH]c2=O)cc1O,-10.52,-7.29,-10.52,active,-8.07,-1.8,-9.45,N/A (not docked),N/A (not docked),,False,2.13,High,True,0.101,True,0.522,3.478,139.2,0.227,6,Forms strong H-bond with catalytic Ser403 (2.0 Å). | Stabilized by Lys406 contact (2.4 Å). | Stabilising contact with Tyr446 (2.2 Å).,1.251,1.937,Validated,True,True,True,738.35,Strong,2.13,1.44,True,,,0.45±0.00,Not Validated,,2.13 ± 0.11 [1.92–2.34]
ALL_QU04,O=S(=O)(c1ccc2ncccc2c1)Nc1ccc(-c2ccccc2)cc1,-10.07,-7.51,-10.07,active,-7.93,-1.78,-10.3,N/A (not docked),N/A (not docked),,False,2.07,High,False,0.083,True,0.574,1.777,59.06,0.0,4,Forms strong H-bond with catalytic Ser403 (3.3 Å). | Stabilized by Lys406 contact (2.4 Å). | Stabilising contact with Tyr446 (1.7 Å).,1.251,1.937,Validated,True,True,True,366.54,Strong,2.07,1.38,True,,,0.13±0.00,Not Validated,,2.07 ± 0.10 [1.86–2.28]
SEED_01150,O=c1[nH]c(=O)n(Cc2ccc(-c3ccccc3)cc2)c2ccccc12,-9.52,-7.54,-9.52,active,-7.09,-2.44,-10.06,N/A (not docked),N/A (not docked),,False,2.00,High,False,0.082,True,0.626,1.795,54.86,0.048,3,Forms strong H-bond with catalytic Ser403 (3.0 Å). | Stabilized by Lys406 contact (2.6 Å). | Stabilising contact with Tyr446 (1.3 Å).,1.251,1.937,Validated,True,True,True,440.13,Promising,2.0,1.3,True,,,0.12±0.00,Not Validated,,2.00 ± 0.10 [1.80–2.20]
ALL_SP03,O=S(=O)(NC12CC3CC(CC(C3)C1)C2)c1ccc(-c2ccccc2)cc1,-9.47,-7.26,-9.47,active,-7.22,-2.61,-10.11,N/A (not docked),N/A (not docked),,False,1.93,High,False,0.1,True,0.858,3.274,46.17,0.455,4,Forms strong H-bond with catalytic Ser403 (3.2 Å). | Stabilized by Lys406 contact (2.5 Å). | Stabilising contact with Tyr446 (3.3 Å).,1.251,1.937,Validated,True,True,True,415.8,Promising,1.93,1.3,True,,,,,,1.93 ± 0.10 [1.74–2.12]
ALL_SU08,O=S(=O)(Nc1ccc(-c2ccc(F)cc2)cc1)c1ccc(C(F)(F)F)cc1,-9.95,-7.42,-9.95,active,-7.55,-2.86,-9.33,N/A (not docked),N/A (not docked),,False,1.91,High,False,0.054,False,0.609,1.814,46.17,0.053,4,Forms strong H-bond with catalytic Ser403 (3.0 Å). | Stabilized by Lys406 contact (2.9 Å). | Stabilising contact with Tyr446 (2.2 Å).,1.251,1.937,Validated,True,True,True,352.68,Promising,1.91,1.36,True,,,,,,1.91 ± 0.10 [1.72–2.10]
BRICS_0340,COc1ccc(C=Cc2cn(Cc3nccc(C4CCNC4=O)n3)c(=O)[nH]c2=O)cc1O,-10.1,-7.37,-10.1,active,-7.82,-2.77,-8.55,N/A (not docked),N/A (not docked),,False,1.91,High,False,0.101,True,0.522,3.52,139.2,0.227,6,Forms strong H-bond with catalytic Ser403 (2.7 Å). | Stabilized by Lys406 contact (2.4 Å). | Weak Tyr446 contact (3.6 Å) — resistance risk.,1.251,1.937,Validated,True,True,False,735.41,Promising,1.91,1.38,True,,,,,,1.91 ± 0.10 [1.72–2.10]
ALL_SU14,O=S(=O)(Nc1ccc(-c2ccccc2)cc1)c1ccc2c(c1)OCCO2,-9.88,-7.75,-9.88,active,-8.18,-2.67,-9.71,N/A (not docked),N/A (not docked),,False,1.82,High,True,0.074,True,0.759,1.85,64.63,0.1,4,Forms strong H-bond with catalytic Ser403 (3.3 Å). | Stabilized by Lys406 contact (2.5 Å). | Stabilising contact with Tyr446 (1.3 Å).,1.251,1.937,Validated,True,True,True,460.03,Promising,1.82,1.35,True,,,,,,1.82 ± 0.09 [1.64–2.00]
ALL_TE07,c1ccc(-c2cc(-c3ccc(CCc4nn[nH]n4)cc3)ccc2)cc1,-9.56,-8.26,-9.56,active,-8.96,-2.65,-10.33,N/A (not docked),N/A (not docked),,False,1.65,High,True,0.053,True,0.594,1.986,54.46,0.095,5,Weak contact with catalytic Ser403 (3.7 Å) — resistance risk. | Weak Lys406 contact (4.0 Å) — resistance risk. | Lacks key interactions with catalytic Ser403 and Lys406. | Stabilising contact with Tyr446 (2.2 Å).,1.251,1.937,Validated,False,False,True,452.17,Promising,1.65,1.31,True,,,,,,1.65 ± 0.08 [1.48–1.81]
ALL_SU03,Cc1ccc(S(=O)(=O)Nc2ccc(-c3ccccc3)cc2)cc1,-9.46,-6.99,-9.46,active,-7.95,-3.64,-9.2,N/A (not docked),N/A (not docked),,False,1.63,High,False,0.08,True,0.77,1.512,46.17,0.053,4,Forms strong H-bond with catalytic Ser403 (2.8 Å). | Stabilized by Lys406 contact (2.8 Å). | Weak Tyr446 contact (4.2 Å) — resistance risk.,1.251,1.937,Validated,True,True,False,440.28,Promising,1.63,1.3,True,,,,,,1.63 ± 0.08 [1.47–1.79]
BRICS_0006,COc1ccc(C=Cc2cn(CN3C(=O)OC4CC5c6ccccc6CCN5CC43)c(=O)[nH]c2=O)cc1O,-10.62,-8.68,-10.62,active,-8.05,-9.1,-10.69,N/A (not docked),N/A (not docked),,False,1.24,High,False,0.094,False,0.535,4.079,117.1,0.321,5,Forms strong H-bond with catalytic Ser403 (2.2 Å). | Stabilized by Lys406 contact (2.6 Å). | Stabilising contact with Tyr446 (1.2 Å).,1.251,1.937,Validated,True,True,True,780.33,Weak,1.24,1.45,False,,,,,,1.24 ± 0.06 [1.12–1.36]
BRICS_01163,O=c1[nH]c(=O)n(Cc2ccc(-n3c(=O)[nH]c4ccccc43)cc2)c2ccccc12,-10.24,-8.29,-10.24,active,-7.88,-0.55,-11.13,N/A (not docked),N/A (not docked),,False,N/A (low-conf),Low,False,0.094,True,0.5,2.225,92.65,0.045,3,Forms strong H-bond with catalytic Ser403 (2.8 Å). | Stabilized by Lys406 contact (3.5 Å). | Weak Tyr446 contact (3.5 Å) — resistance risk.,1.251,1.937,Validated,True,True,False,445.51,,,1.4,False,,1.3,,,,N/A (low-conf)
BRICS_0004,COc1ccc(C=Cc2cn(CC3Oc4cc(O)ccc4CC3=O)c(=O)[nH]c2=O)cc1O,-10.09,-7.68,-10.09,active,-7.77,-8.15,-9.76,N/A (not docked),N/A (not docked),,False,1.27,High,False,0.095,True,0.555,3.416,130.85,0.174,5,Forms strong H-bond with catalytic Ser403 (3.3 Å). | Stabilized by Lys406 contact (2.3 Å). | Stabilising contact with Tyr446 (1.3 Å).,1.251,1.937,Validated,True,True,True,645.98,Weak,1.27,1.38,False,,,,,,1.27 ± 0.06 [1.14–1.40]
BRICS_01154,O=c1[nH]c(=O)n(Cn2c(=O)[nH]c(=O)c3ccccc32)c2ccccc12,-10.07,-7.78,-10.07,active,-7.32,-7.72,-9.51,N/A (not docked),N/A (not docked),,False,1.34,High,False,0.076,True,0.545,2.329,109.72,0.059,2,Forms strong H-bond with catalytic Ser403 (3.1 Å). | Stabilized by Lys406 contact (2.8 Å). | Stabilising contact with Tyr446 (2.5 Å). (below SI gate),1.251,1.937,Validated,True,True,True,360.52,Weak,1.34,1.38,False,,,,,,1.34 ± 0.07 [1.21–1.47]
ALL_QU09,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1ccc2cccnc2c1,-9.96,-7.35,-9.96,active,,-8.48,,N/A (not docked),N/A (not docked),,False,N/A (low-conf),Low,False,0.097,False,0.514,1.729,54.02,0.0,3,no pose — binding interactions not analysed.,1.251,1.937,Validated,False,False,False,,,,1.36,False,,1.17,,,,N/A (low-conf)
ALL_QU05,O=c1[nH]c2ccc3cccnc3c2n1Cc1ccc(-c2ccccc2)cc1,-9.77,-7.67,-9.77,active,-7.36,-8.5,-10.4,N/A (not docked),N/A (not docked),,False,1.23,High,False,0.091,True,0.517,2.127,50.68,0.043,3,Forms strong H-bond with catalytic Ser403 (2.6 Å). | Stabilized by Lys406 contact (2.6 Å). | Stabilising contact with Tyr446 (2.9 Å).,1.251,1.937,Validated,True,True,True,472.5,Weak,1.23,1.34,False,,,,,,1.23 ± 0.06 [1.11–1.35]
BRICS_02023,O=c1[nH]c(=O)n(Cc2ccc(-c3nc(-c4ccccc4)no3)cc2)c2ccccc12,-9.7,-8.37,-9.7,active,-8.35,-9.56,-10.81,N/A (not docked),N/A (not docked),,False,1.08,High,False,0.077,True,0.502,2.11,93.78,0.043,4,Forms strong H-bond with catalytic Ser403 (3.3 Å). | Stabilized by Lys406 contact (2.6 Å). | Stabilising contact with Tyr446 (3.1 Å).,1.251,1.937,Validated,True,True,True,457.5,Weak,1.08,1.33,False,,,,,,1.08 ± 0.05 [0.97–1.19]
BRICS_02241,O=c1[nH]c(=O)n(Cc2ccc(-c3noc(-c4ccccc4)n3)cc2)c2ccccc12,-9.68,-8.17,-9.68,active,-8.29,-9.68,-10.72,N/A (not docked),N/A (not docked),,False,1.08,High,False,0.077,True,0.502,2.11,93.78,0.043,4,Forms strong H-bond with catalytic Ser403 (3.4 Å). | Stabilized by Lys406 contact (2.6 Å). | Stabilising contact with Tyr446 (2.6 Å).,1.251,1.937,Validated,True,True,True,417.28,Weak,1.08,1.33,False,,,,,,1.08 ± 0.05 [0.97–1.19]
SEED_01149,O=S(=O)(Nc1ccc(-c2ccccc2)cc1)c1cc(-c2ccccc2)[nH]n1,-9.63,-7.83,-9.63,active,-7.77,-8.09,-10.81,N/A (not docked),N/A (not docked),,False,1.21,High,False,0.075,True,0.537,2.118,74.85,0.0,5,Forms strong H-bond with catalytic Ser403 (2.8 Å). | Stabilized by Lys406 contact (2.5 Å). | Stabilising contact with Tyr446 (3.0 Å).,1.251,1.937,Validated,True,True,True,494.46,Weak,1.21,1.32,False,,,,,,1.21 ± 0.06 [1.09–1.33]
DECOY_0120,O=c1cc(-c2noc(-c3ccc(-c4ccc(O)cc4)cc3)n2)nc2[nH]ccn12,-9.6,-7.62,-9.6,active,-8.35,-8.85,-9.7,N/A (not docked),N/A (not docked),,False,1.12,High,False,0.085,True,0.504,2.734,109.31,0.0,3,Forms strong H-bond with catalytic Ser403 (3.0 Å). | Stabilized by Lys406 contact (2.3 Å). | Weak Tyr446 contact (4.2 Å) — resistance risk.,1.251,1.937,Validated,True,True,False,439.11,Weak,1.12,1.32,False,,,,,,1.12 ± 0.06 [1.01–1.23]
DIV_0405,COc1cc(-c2nc(-c3ccc4oc(N5CCCC5)cc(=O)c4c3)no2)ccc1O,-9.59,-7.45,-9.59,active,-8.1,-8.41,-8.62,N/A (not docked),N/A (not docked),,False,1.16,High,False,0.142,True,0.547,2.535,101.83,0.227,4,Forms strong H-bond with catalytic Ser403 (2.6 Å). | Stabilized by Lys406 contact (2.5 Å). | Stabilising contact with Tyr446 (2.4 Å).,1.251,1.937,Validated,True,True,True,472.51,Weak,1.16,1.31,False,,,,,,1.16 ± 0.06 [1.04–1.28]
BRICS_01161,O=C(O)c1ccc(-c2ccc(Cn3c(=O)[nH]c(=O)c4ccccc43)cc2)cc1,-9.55,-7.88,-9.55,active,-8.04,-8.24,-10.09,N/A (not docked),N/A (not docked),,False,1.17,High,False,0.118,True,0.576,1.934,92.16,0.045,4,Forms strong H-bond with catalytic Ser403 (3.1 Å). | Stabilized by Lys406 contact (2.6 Å). | Stabilising contact with Tyr446 (1.0 Å).,1.251,1.937,Validated,True,True,True,556.79,Weak,1.17,1.31,False,,,,,,1.17 ± 0.06 [1.05–1.29]
BRICS_01158,N#Cc1ccc(Nc2ccc(Cn3c(=O)[nH]c(=O)c4ccccc43)cc2)cc1,-9.54,-7.61,-9.54,active,-8.05,-7.78,-10.09,N/A (not docked),N/A (not docked),,False,1.21,High,False,0.06,True,0.578,2.082,90.68,0.045,4,Weak contact with catalytic Ser403 (3.6 Å) — resistance risk. | Stabilized by Lys406 contact (2.7 Å). | Weak Tyr446 contact (3.9 Å) — resistance risk.,1.251,1.937,Validated,False,True,False,389.07,Weak,1.21,1.31,False,,,,,,1.21 ± 0.06 [1.09–1.33]
DIV_0242,O=C1NCCC1Sc1ccnc(-n2cc(C=Cc3ccc(O)cc3)c(=O)[nH]c2=O)n1,-9.52,-7.7,-9.52,active,-8.02,-8.3,-10.12,N/A (not docked),N/A (not docked),,False,1.17,High,False,0.121,True,0.525,3.554,129.97,0.15,5,Forms strong H-bond with catalytic Ser403 (2.1 Å). | Stabilized by Lys406 contact (2.6 Å). | Stabilising contact with Tyr446 (1.3 Å).,1.251,1.937,Validated,True,True,True,512.76,Weak,1.17,1.3,False,,,,,,1.17 ± 0.06 [1.05–1.29]
DIV_0277,Oc1ccc(CCc2ccnc(-c3ccnc(Cc4ccccc4)n3)n2)cc1,-9.51,-7.66,-9.51,active,-8.09,-6.36,-10.64,N/A (not docked),N/A (not docked),,False,1.32,High,True,0.07,True,0.557,2.319,71.79,0.13,6,Forms strong H-bond with catalytic Ser403 (3.3 Å). | Stabilized by Lys406 contact (3.5 Å). | Stabilising contact with Tyr446 (1.5 Å). (below SI gate),1.251,1.937,Validated,True,True,True,562.7,Weak,1.32,1.3,False,,,,,,1.32 ± 0.07 [1.19–1.45]
DECOY_0059,N#Cc1ccc(-c2noc(Nc3noc(-c4ccc(O)cc4)n3)n2)cc1,-9.49,-7.38,-9.49,active,-8.72,-8.01,-10.2,N/A (not docked),N/A (not docked),,False,1.13,High,False,0.049,True,0.571,2.583,133.89,0.0,4,Forms strong H-bond with catalytic Ser403 (3.2 Å). | Stabilized by Lys406 contact (2.8 Å). | Stabilising contact with Tyr446 (2.4 Å).,1.251,1.937,Validated,True,True,True,279.22,Weak,1.13,1.3,False,,,,,,1.13 ± 0.06 [1.02–1.24]
DECOY_0104,N#Cc1ccc(Nc2noc(-c3noc(-c4ccc(O)cc4)n3)n2)cc1,-9.46,-7.31,-9.46,active,-8.99,-7.89,-9.79,N/A (not docked),N/A (not docked),,False,1.12,High,False,0.049,True,0.571,2.539,133.89,0.0,4,Forms strong H-bond with catalytic Ser403 (2.6 Å). | Stabilized by Lys406 contact (2.9 Å). | Stabilising contact with Tyr446 (2.0 Å).,1.251,1.937,Validated,True,True,True,328.01,Weak,1.12,1.3,False,,,,,,1.12 ± 0.06 [1.01–1.23]
